2021-12-12 12:12:45 INFO  ReasonForTravelPage :39 - Reason for travel [[[ChromeDriver: chrome on WINDOWS (9242a403a91944a44ea0741de09f9d02)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (9242a403a91944a44ea0741de09f9d02)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (9242a403a91944a44ea0741de09f9d02)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (9242a403a91944a44ea0741de09f9d02)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (9242a403a91944a44ea0741de09f9d02)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (9242a403a91944a44ea0741de09f9d02)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (9242a403a91944a44ea0741de09f9d02)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (9242a403a91944a44ea0741de09f9d02)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (9242a403a91944a44ea0741de09f9d02)] -> xpath: //div[@class='govuk-radios']//div//label]]
2021-12-12 12:12:481 INFO  ReasonForTravelPage :31 - clicking on continue button [[ChromeDriver: chrome on WINDOWS (9242a403a91944a44ea0741de09f9d02)] -> xpath: //button[@class='gem-c-button govuk-button gem-c-button--bottom-margin']]
2021-12-12 12:12:560 INFO  DurationOfStayPage :48 - selecting duration of stay : [[ChromeDriver: chrome on WINDOWS (9242a403a91944a44ea0741de09f9d02)] -> xpath: //div[@class='govuk-radios']//label[contains(text(),'longer than 6 months')]]
2021-12-12 12:12:762 INFO  DurationOfStayPage :75 - selecting continue : [[ChromeDriver: chrome on WINDOWS (9242a403a91944a44ea0741de09f9d02)] -> xpath: //button[contains(text(),'Continue')]]
2021-12-12 12:12:596 INFO  ManageDriver :32 - Launching chrome browser
2021-12-12 12:12:911 INFO  StartPage :25 - clicking on start now buttonProxy element for: DefaultElementLocator 'By.xpath: //a[normalize-space()='Start now']'
2021-12-12 12:12:70 INFO  SelectNationalityPage :29 - Selecting nationality : [[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //select[@id='response']]
2021-12-12 12:12:133 INFO  SelectNationalityPage :38 - selecting continue : [[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //button[@class='gem-c-button govuk-button gem-c-button--bottom-margin']]
2021-12-12 12:12:251 INFO  ReasonForTravelPage :39 - Reason for travel [[[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //div[@class='govuk-radios']//div//label], [[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //div[@class='govuk-radios']//div//label]]
2021-12-12 12:12:595 INFO  ReasonForTravelPage :31 - clicking on continue button [[ChromeDriver: chrome on WINDOWS (b40a81008df3c8bcb16a02fb6a7470a3)] -> xpath: //button[@class='gem-c-button govuk-button gem-c-button--bottom-margin']]
